,variable,description
76,AG.LND.AGRI.ZS,Agricultural land (% of land area)
85,AG.LND.ARBL.ZS,Arable land (% of land area)
127,AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km)
126,AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area)
67,AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km)
66,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area)
37,AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area)
34,AG.LND.FRST.K2,Forest area (sq. km)
33,AG.LND.FRST.ZS,Forest area (% of land area)
18,AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
36,AG.LND.TOTL.K2,Land area (sq. km)
125,AG.LND.TOTL.RU.K2,Rural land area (sq. km)
65,AG.LND.TOTL.UR.K2,Urban land area (sq. km)
129,AG.SRF.TOTL.K2,Surface area (sq. km)
69,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population)
31,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2011 PPP GDP)
0,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
1,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)"
0,EG.ELC.ACCS.ZS,Access to electricity (% of population)
28,EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)"
59,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output)
30,EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
29,EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
60,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption)
26,EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use)
24,EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt)
89,EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total)
20,EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2010 US$ of GDP)
22,EN.ATM.CO2E.KT,CO2 emissions (kt)
91,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt)
90,EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total)
88,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita)
21,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP)
87,EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2017 PPP $ of GDP)
95,EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt)
25,EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total)
44,EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
113,EN.ATM.GHGO.ZG,Other greenhouse gas emissions (% change from 1990)
133,EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent)
132,EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990)
101,EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent)
77,EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
16,EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total)
105,EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
99,EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total)
104,EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent)
38,EN.ATM.METH.ZG,Methane emissions (% change from 1990)
79,EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
78,EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total)
